	text	user	len	ID	Date	Source	Like	RTs	Geo
83	"RT @PhiKuro: ""Deutschland ist gut vorbereitet!""
So wurde am Anfang der #Covid19-Krise gesagt.
Viele halten das heute für das Pfeifen im Wal…"	Dalben	140	1241513952166756352	2020-03-21 23:56:07	Twitter for Android	0	21	
84	"RT @PeptoRL: Bitte nehmt euch die 10 Minuten zu #SocialDistanacing  #PhysicalDistancing in Zeiten von #covid19 #CoronaVirusDE 
Eine schweiz…"	Veronika Padberg	140	1241513915047182336	2020-03-21 23:55:58	Twitter Web App	0	6	
85	"RT @MoritzWaech: Junge liberale: Öffentlich-Rechtliche brauchen wir nicht macht alles netflix und schaut eh keiner mehr

Realität: fast jed…"	1000millimeter	140	1241513903848292352	2020-03-21 23:55:55	Twitter Web App	0	453	
86	"RT @MDRAktuell: Ärzte des ""Nierenzentrums"" im Ilm-Kreis bitten die Bevölkerung um Hilfe. Ihnen fehlen Schutzmasken der Kategorien FFP2 und…"	bspaasche	139	1241513901075968000	2020-03-21 23:55:54	Twitter for Android	0	275	
87	RT @robbyhunke: #Thisisanfield...ähm...this is #Köln #Nippes. Kurzes Gefühl von #Stadion Atmo. Aber natürlich gehört die Minute den hart ar…	Johannes Marquardt	140	1241513892678950917	2020-03-21 23:55:52	Twitter for Android	0	58	
88	RT @Peter_Schaar: Im @leopoldina-Papier wird auch das Hochfahren der Testkapazitäten auf #COVID19 gefordert - Dagegen ist von verstärkter Ü…	Nicolai🍓	140	1241513862169591821	2020-03-21 23:55:45	Twitter Web App	0	39	
89	"RT @PolizeiBerlin_E: Über 100 Erwachsene und Kinder trafen sich heute Nachmittag im Strandbad #Müggelsee.
Mit dieser Schnapsidee sind die V…"	RCF PDM	140	1241513815570874370	2020-03-21 23:55:34	Twitter for Android	0	1357	
90	RT @MDRAktuell: Russland schickt Italien medizinische und personelle Hilfe. Der Kreml stellt nach eigenen Angaben auf Bitten Italiens Schut…	Evelyn_Einfach 🚂🚜	140	1241513762487775232	2020-03-21 23:55:21	Twitter for Android	0	222	
91	RT @Peter_Schaar: Im @leopoldina-Papier wird auch das Hochfahren der Testkapazitäten auf #COVID19 gefordert - Dagegen ist von verstärkter Ü…	Alexander Kruppa	140	1241513742908735493	2020-03-21 23:55:17	Twitter for iPhone	0	39	
92	RT @IngoSalmen: Die gute Nachricht: Die Zahl der stationären  #COVID19-Patienten in #Berlin ist gesunken. Alle registrierten #Coronavirus-F…	Uwe Kordeck	140	1241513725267513346	2020-03-21 23:55:12	Mobile Web (M2)	0	29	
93	RT @Peter_Schaar: Im @leopoldina-Papier wird auch das Hochfahren der Testkapazitäten auf #COVID19 gefordert - Dagegen ist von verstärkter Ü…	Cat in Chief	140	1241513679851487233	2020-03-21 23:55:02	Twitter Web App	0	39	
94	"RT @EickeTarkus: Sehr lesenswert, aber in Teilen auch ernüchternd...

#Corona #CoronaVirusDE #COVID19 #COVIDー19 #SARSCoV2 #Verschwörungsthe…"	Theodor Heinrich	140	1241513660381630468	2020-03-21 23:54:57	Twitter Web App	0	2	
95	#KommissarRex https://t.co/hFFWjZFRMJ via @tvinfode #Russische #Killer als #Rosenverkäufer. Es geht um Entwicklung… https://t.co/AOzdVbBs7D	Werner Keil	139	1241513649170272257	2020-03-21 23:54:54	Twitter Web Client	0	0	
96	RT @Peter_Schaar: Im @leopoldina-Papier wird auch das Hochfahren der Testkapazitäten auf #COVID19 gefordert - Dagegen ist von verstärkter Ü…	Lieselotte Müller	140	1241513613812273152	2020-03-21 23:54:46	Twitter for Android	0	39	
97	RT @tsn_HH: @TschenPe Stand Samstag lediglich 32 Hamburger wg. #COVID19 in stationärer Behandlung, und davon 6 intensiv - also sagen Sie @S…	She is	140	1241513547772973056	2020-03-21 23:54:30	Twitter Web App	0	1	
98	RT @robbyhunke: #Thisisanfield...ähm...this is #Köln #Nippes. Kurzes Gefühl von #Stadion Atmo. Aber natürlich gehört die Minute den hart ar…	Archie ❤️💙	140	1241513512238829568	2020-03-21 23:54:22	Twitter for Android	0	58	
99	RT @Stadt_Wien: Auch wenn es schwer fällt: Ihr müsst jetzt auch einmal ein bisserl brav sein! So eine Eilmeldung des kaiserlichen Hofes mit…	Bertihof	140	1241513483067445250	2020-03-21 23:54:15	Twitter for Android	0	665	
100	"RT @galottom: ""Sie verlieren den Krieg""
Das Hospital in #Bergamo wünschte den Report veröffentlicht. 
Die Notlage, von ihnen ""Apokalypse"" g…"	Rick O. Rohs	140	1241513462330785792	2020-03-21 23:54:10	Twitter for Android	0	13	
101	"#Italy schliesst alle Unternehmen und Fabriken.
n-tv Ticker
https://t.co/ErCTPrwqgs 
#covid19 
#coronavirus… https://t.co/ImBZ4D2oN9"	☢️ Werner Bechtel	132	1241513431313850370	2020-03-21 23:54:02	TweetDeck	0	0	
102	Das gilt generell! Kauft #Lokal - bei deutschen Anbietern - und eben nicht bei #amazon. Das wäre eben auch sinnvoll… https://t.co/pZAy9O7ZTh	Oliver Lucas	140	1241513412888277004	2020-03-21 23:53:58	Twitter Web App	0	0	
103	RT @watch_union: Wenn man bei einer #Trump-Pressekonferenz live zusehen kann, wenn selbst seine Stabsmitglieder erkennen was für ein Blende…	Madame Earl Grey	140	1241513383272333318	2020-03-21 23:53:51	Twitter for Android	0	37	
104	RT @HAMBURGonline: #Coronavirus Eure Twitter Meinung ist gefragt. Leider erkennen viele nicht, wie gefährlich das #COVID19 und deren Anstec…	Thomas Puffyka81	140	1241513369854771207	2020-03-21 23:53:48	Twitter for Android	0	52	
105	"RT @PolizeiBerlin_E: Über 100 Erwachsene und Kinder trafen sich heute Nachmittag im Strandbad #Müggelsee.
Mit dieser Schnapsidee sind die V…"	abstracto	140	1241513338896605185	2020-03-21 23:53:40	Twitter for iPhone	0	1357	
106	"RT @MDRAktuell: Ärzte des ""Nierenzentrums"" im Ilm-Kreis bitten die Bevölkerung um Hilfe. Ihnen fehlen Schutzmasken der Kategorien FFP2 und…"	Alpaka in Isolation	139	1241513320185843713	2020-03-21 23:53:36	Twitter for Android	0	275	
107	"RT @jenshealthde: Emmanuel Macron: ""Wir sind im Krieg.""

Boris Johnson: ""Wir sind in einen Krieg gegen diese Krankheit verwickelt.""

Donald…"	Benjamin Lutter	140	1241513281774329857	2020-03-21 23:53:27	Twitter for Android	0	3051	
